Startup Id,Week,# Active Connections,# Connections,# Comments Received,Total Initiated,Total Received,Pending,Accepted,Rejected/Removed,Rejected/Removed By Other
13,201239,4,14,0,0,0,0,0,0,0
28,201239,9,16,10,0,1,0,1,0,0
47,201239,6,12,6,0,0,0,0,0,0
72,201239,7,8,8,1,0,0,1,0,0
82,201239,4,9,0,0,0,0,0,0,0
91,201239,9,11,6,1,3,0,4,0,0
130,201239,2,6,2,0,1,0,1,0,0
156,201239,1,3,0,0,0,0,0,0,0
177,201239,1,5,0,0,0,0,0,0,0
186,201239,7,10,8,0,1,0,1,0,0
214,201239,2,10,4,0,0,0,0,0,0
281,201239,2,10,0,0,0,0,0,0,0
317,201239,10,32,4,0,0,0,0,0,0
319,201239,5,12,16,0,1,0,1,0,0
388,201239,2,8,3,2,3,0,3,0,0
450,201239,9,19,5,0,0,0,0,0,0
459,201239,0,1,0,0,0,0,0,0,0
497,201239,3,11,2,0,0,0,0,0,0
516,201239,4,8,1,0,0,0,0,0,0
518,201239,3,7,1,0,0,0,0,0,0
534,201239,4,8,5,0,0,0,0,0,0
543,201239,3,7,1,0,0,0,0,0,0
561,201239,2,7,0,0,0,0,0,0,0
581,201239,1,7,2,0,2,0,1,0,0
584,201239,5,10,2,0,0,0,0,0,0
585,201239,1,4,1,0,0,0,0,0,0
593,201239,2,5,1,0,0,0,0,0,0
612,201239,8,19,3,0,0,0,0,0,0
616,201239,5,10,5,1,0,0,1,0,0
624,201239,3,10,0,0,0,0,0,0,0
646,201239,2,6,0,0,0,0,0,0,0
651,201239,6,11,1,0,1,0,1,0,0
658,201239,3,5,0,0,0,0,0,0,0
678,201239,4,10,1,0,0,0,0,0,0
680,201239,3,15,4,0,0,0,0,0,0
777,201239,3,3,1,0,0,0,0,0,0
793,201239,3,9,2,0,2,0,2,0,0
845,201239,0,0,0,0,0,0,0,0,0
848,201239,4,6,7,0,1,0,1,0,0
852,201239,4,5,6,0,0,0,0,0,0
855,201239,5,6,0,0,0,0,0,0,0
859,201239,5,7,5,1,0,0,1,0,0
870,201239,0,0,0,0,0,0,0,0,0
888,201239,5,7,5,1,1,0,2,0,0
901,201239,3,4,0,0,0,0,0,0,0
906,201239,6,8,6,0,0,0,0,0,0
923,201239,2,4,11,0,0,0,0,0,0
937,201239,5,7,9,1,3,1,3,0,0
938,201239,1,4,1,0,0,0,0,0,0
957,201239,7,11,5,0,0,0,0,0,0
963,201239,1,1,0,0,2,0,1,0,0
974,201239,3,4,4,0,0,0,0,0,0
982,201239,4,4,2,0,1,0,1,0,0
985,201239,4,4,2,0,0,0,0,0,0
987,201239,6,7,9,0,0,0,0,0,0
996,201239,3,4,7,0,0,0,0,0,0
1001,201239,4,4,0,0,0,0,0,0,0
1020,201239,4,4,0,0,0,0,0,0,0
1029,201239,7,7,8,2,0,0,1,1,0
1035,201239,3,3,0,0,0,0,0,0,0
1036,201239,1,3,3,0,1,0,0,0,0
1046,201239,3,3,3,0,0,0,0,0,0
1047,201239,4,9,2,0,0,0,0,0,0
1135,201239,2,2,4,1,0,0,1,0,0
1144,201239,1,1,0,0,0,0,0,0,0
1149,201239,1,1,0,0,0,0,0,0,0
1151,201239,0,0,0,0,0,0,0,0,0
1154,201239,2,3,5,2,0,0,1,1,0
1158,201239,7,12,8,1,2,0,2,0,0
1180,201239,2,6,3,0,1,0,0,0,0
1182,201239,2,5,3,0,0,0,0,0,0
1222,201239,3,5,1,0,0,0,0,0,0
1224,201239,1,5,3,1,3,0,2,0,0
1234,201239,1,3,1,0,2,0,1,0,0
1236,201239,2,5,3,2,1,0,3,0,0
13,201240,5,14,1,0,0,0,0,0,0
28,201240,10,16,7,0,0,0,0,0,0
47,201240,7,12,0,0,0,0,0,0,0
72,201240,5,6,5,0,0,0,0,0,0
82,201240,4,9,0,0,0,0,0,0,0
91,201240,8,9,2,0,0,0,0,0,0
130,201240,2,7,2,0,0,0,0,0,0
156,201240,1,3,0,0,1,0,1,0,0
166,201240,0,2,0,0,0,0,0,0,0
173,201240,5,11,6,0,0,0,0,0,0
177,201240,1,5,0,0,0,0,0,0,0
186,201240,6,9,11,1,0,0,1,0,0
214,201240,2,10,3,0,0,0,0,0,0
247,201240,3,5,1,0,0,0,0,0,0
317,201240,10,32,10,0,0,0,0,0,0
319,201240,7,12,25,0,0,0,0,0,0
388,201240,5,8,4,0,0,0,0,0,0
445,201240,9,38,4,0,0,0,0,0,0
450,201240,7,18,10,0,2,0,2,0,0
497,201240,4,11,1,0,0,0,0,0,0
516,201240,3,8,2,0,0,0,0,0,0
518,201240,3,4,1,0,0,0,0,0,0
534,201240,5,7,3,0,0,0,0,0,0
561,201240,2,7,1,0,0,0,0,0,0
581,201240,3,8,2,0,0,0,0,0,0
585,201240,2,4,3,0,0,0,0,0,0
593,201240,2,5,8,0,0,0,0,0,0
612,201240,5,19,2,0,0,0,0,0,0
616,201240,5,10,2,0,2,0,2,0,0
624,201240,3,10,0,0,1,0,1,0,0
646,201240,2,6,0,0,0,0,0,0,0
651,201240,7,12,4,0,0,0,0,0,0
678,201240,3,10,2,0,1,1,0,0,0
680,201240,3,15,7,0,0,0,0,0,0
777,201240,2,2,6,0,1,0,0,0,0
806,201240,2,3,1,0,0,0,0,0,0
848,201240,5,8,4,0,2,0,1,0,0
852,201240,4,5,4,0,0,0,0,0,0
855,201240,5,6,9,0,0,0,0,0,0
870,201240,0,0,3,3,1,0,4,0,0
888,201240,5,8,9,0,0,0,0,0,0
906,201240,4,8,4,0,0,0,0,0,0
923,201240,3,5,8,2,3,1,4,0,0
937,201240,6,6,7,1,0,0,1,0,0
938,201240,2,4,3,0,0,0,0,0,0
957,201240,6,11,7,0,1,0,1,0,0
963,201240,1,2,3,0,0,0,0,0,0
974,201240,3,4,4,0,1,0,1,0,0
982,201240,4,5,4,1,0,0,1,0,0
985,201240,4,4,1,0,0,0,0,0,0
987,201240,6,7,5,0,1,0,1,0,0
996,201240,3,4,3,0,1,0,1,0,0
1001,201240,4,4,0,0,0,0,0,0,0
1020,201240,4,4,0,0,0,0,0,0,0
1029,201240,7,7,8,3,1,1,1,2,0
1035,201240,3,3,0,0,0,0,0,0,0
1036,201240,2,4,3,0,8,0,8,0,0
1046,201240,3,3,0,0,0,0,0,0,0
1135,201240,3,3,4,1,2,0,2,0,0
1144,201240,1,1,1,0,2,0,2,0,0
1151,201240,0,0,0,0,0,0,0,0,0
1154,201240,3,4,13,2,3,1,4,0,0
1158,201240,6,13,14,4,0,0,4,0,0
1180,201240,2,7,8,1,1,0,2,0,0
1182,201240,3,8,2,1,0,0,1,0,0
1191,201240,1,5,3,4,0,1,3,0,0
1222,201240,2,5,1,0,1,0,0,0,0
1236,201240,3,7,4,1,0,0,1,0,0
1242,201240,1,5,5,4,0,0,4,0,0
1243,201240,4,13,4,1,1,0,2,0,0
1268,201240,4,13,5,0,0,0,0,0,0
1278,201240,7,16,3,0,0,0,0,0,0
1294,201240,3,6,3,1,2,0,3,0,0
1302,201240,3,10,5,2,0,0,2,0,0
1305,201240,5,13,3,2,7,0,9,0,0
1344,201240,3,7,6,0,2,0,2,0,0
13,201241,3,14,0,1,0,0,1,0,0
47,201241,6,12,6,0,0,0,0,0,0
72,201241,3,5,5,0,0,0,0,0,0
82,201241,3,9,0,0,0,0,0,0,0
91,201241,6,9,0,0,0,0,0,0,0
130,201241,1,6,1,0,0,0,0,0,0
156,201241,2,4,0,0,0,0,0,0,0
173,201241,5,11,3,0,0,0,0,0,0
214,201241,2,10,1,0,0,0,0,0,0
247,201241,2,4,1,0,0,0,0,0,0
317,201241,5,31,3,0,1,0,1,0,0
319,201241,4,8,14,0,0,0,0,0,0
411,201241,0,7,1,0,0,0,0,0,0
450,201241,7,19,3,0,0,0,0,0,0
516,201241,3,8,2,0,0,0,0,0,0
543,201241,1,6,0,0,0,0,0,0,0
561,201241,2,7,0,0,1,0,1,0,0
581,201241,2,7,1,0,0,0,0,0,0
585,201241,2,4,0,0,0,0,0,0,0
593,201241,1,5,1,0,0,0,0,0,0
612,201241,5,19,4,0,1,0,1,0,0
624,201241,3,11,0,0,0,0,0,0,0
646,201241,2,6,0,0,0,0,0,0,0
651,201241,6,12,4,0,0,0,0,0,0
667,201241,1,2,0,0,0,0,0,0,0
680,201241,3,15,4,0,1,0,1,0,0
777,201241,3,4,4,0,0,0,0,0,0
793,201241,5,11,1,0,0,0,0,0,0
837,201241,0,2,0,0,0,0,0,0,0
848,201241,5,10,2,0,3,1,2,0,0
852,201241,3,5,5,0,0,0,0,0,0
855,201241,4,6,3,1,0,0,1,0,0
870,201241,2,2,9,1,0,1,0,0,0
888,201241,6,9,4,0,0,0,0,0,0
906,201241,4,6,6,1,0,0,1,0,0
923,201241,4,8,6,0,0,0,0,0,0
937,201241,7,9,5,1,0,1,0,0,0
938,201241,0,3,0,0,0,0,0,0,0
957,201241,6,12,3,0,0,0,0,0,0
963,201241,2,3,0,0,0,0,0,0,0
974,201241,4,5,6,0,0,0,0,0,0
982,201241,3,6,3,0,0,0,0,0,0
985,201241,4,4,1,0,0,0,0,0,0
987,201241,5,8,6,0,0,0,0,0,0
996,201241,4,5,5,0,1,1,0,0,0
1001,201241,4,4,0,0,0,0,0,0,0
1020,201241,4,4,1,0,0,0,0,0,0
1029,201241,5,7,14,0,1,0,0,0,0
1035,201241,3,3,0,0,0,0,0,0,0
1046,201241,3,3,1,0,0,0,0,0,0
1135,201241,4,6,8,1,1,1,1,0,0
1151,201241,0,0,0,0,0,0,0,0,0
1154,201241,7,9,5,0,0,0,0,0,0
1158,201241,7,13,11,1,0,0,1,0,0
1180,201241,2,8,1,0,0,0,0,0,0
1182,201241,6,9,2,0,0,0,0,0,0
1191,201241,4,8,0,0,0,0,0,0,0
1201,201241,2,5,0,0,0,0,0,0,0
1222,201241,1,5,2,0,0,0,0,0,0
1224,201241,5,12,2,1,0,0,1,0,0
1236,201241,2,5,1,1,1,1,1,0,0
1242,201241,3,9,2,1,0,0,1,0,0
1243,201241,6,15,1,0,0,0,0,0,0
1268,201241,2,13,4,1,2,1,2,0,0
1274,201241,1,5,0,0,0,0,0,0,0
1278,201241,5,16,2,0,0,0,0,0,0
1302,201241,6,12,7,1,3,0,4,0,0
1309,201241,3,6,2,0,0,0,0,0,0
1320,201241,5,15,0,0,0,0,0,0,0
1347,201241,1,7,9,8,0,1,5,2,0
1365,201241,2,5,2,0,0,0,0,0,0
1404,201241,1,6,0,0,0,0,0,0,0
13,201242,4,15,0,1,0,1,0,0,0
47,201242,5,12,2,0,0,0,0,0,0
72,201242,3,5,4,0,0,0,0,0,0
82,201242,3,9,0,0,1,0,1,0,0
91,201242,6,9,3,0,0,0,0,0,0
130,201242,1,6,0,0,0,0,0,0,0
173,201242,5,11,2,0,0,0,0,0,0
186,201242,10,13,13,0,0,0,0,0,0
214,201242,2,10,0,1,0,0,1,0,0
247,201242,2,4,3,0,3,0,3,0,0
317,201242,6,32,4,2,0,0,2,0,0
319,201242,6,8,15,0,8,0,93,0,0
411,201242,0,7,3,0,2,1,1,0,0
497,201242,1,11,1,0,0,0,0,0,0
516,201242,2,8,1,0,0,0,0,0,0
518,201242,3,4,3,0,0,0,0,0,0
543,201242,3,6,0,0,0,0,0,0,0
561,201242,2,8,0,0,0,0,0,0,0
581,201242,1,7,0,0,0,0,0,0,0
585,201242,2,4,2,0,0,0,0,0,0
612,201242,6,20,3,0,0,0,0,0,0
624,201242,4,11,5,0,2,0,2,0,0
646,201242,2,6,0,0,0,0,0,0,0
678,201242,2,10,2,0,0,0,0,0,0
680,201242,4,16,3,0,0,0,0,0,0
793,201242,4,11,0,0,0,0,0,0,0
806,201242,2,3,2,0,0,0,0,0,0
848,201242,5,12,1,0,0,0,0,0,0
855,201242,3,6,2,0,0,0,0,0,0
870,201242,2,2,3,0,0,0,0,0,0
888,201242,5,9,8,1,0,0,1,0,0
906,201242,4,6,5,0,0,0,0,0,0
923,201242,2,8,2,0,0,0,0,0,0
957,201242,3,12,4,0,0,0,0,0,0
963,201242,1,2,2,1,0,0,1,0,0
974,201242,4,5,5,0,0,0,0,0,0
982,201242,3,6,3,1,0,0,0,1,0
985,201242,3,4,0,0,0,0,0,0,0
987,201242,5,8,4,0,0,0,0,0,0
996,201242,4,5,1,0,0,0,0,0,0
1020,201242,3,4,0,0,0,0,0,0,0
1029,201242,5,6,8,1,1,0,2,0,0
1035,201242,2,3,0,0,0,0,0,0,0
1036,201242,2,11,1,0,0,0,0,0,0
1046,201242,2,3,0,0,0,0,0,0,0
1144,201242,2,2,6,1,0,0,1,0,0
1151,201242,0,0,0,0,0,0,0,0,0
1154,201242,4,9,7,1,1,0,2,0,0
1158,201242,9,13,5,0,0,0,0,0,0
1180,201242,3,8,6,0,2,0,2,0,0
1182,201242,4,9,2,0,0,0,0,0,0
1191,201242,3,8,0,0,0,0,0,0,0
1222,201242,1,5,0,0,0,0,0,0,0
1224,201242,5,12,6,0,1,1,0,0,0
1236,201242,2,5,5,1,3,0,4,0,0
1242,201242,1,9,7,1,4,0,5,0,0
1268,201242,1,14,7,0,4,0,3,0,0
1278,201242,4,16,4,0,0,0,0,0,0
1294,201242,4,9,2,0,1,1,0,0,0
1302,201242,8,16,6,1,1,0,2,0,0
1309,201242,1,6,1,0,0,0,0,0,0
1347,201242,5,11,8,2,0,0,2,0,0
1431,201242,0,0,4,3,1,0,4,0,0
13,201243,2,15,0,0,0,0,0,0,0
47,201243,3,10,0,0,0,0,0,0,0
72,201243,3,3,0,0,0,0,0,0,0
91,201243,6,9,0,0,0,0,0,0,0
130,201243,1,6,0,0,0,0,0,0,0
173,201243,5,11,0,0,0,0,0,0,0
177,201243,0,5,0,0,0,0,0,0,0
186,201243,8,12,0,0,0,0,0,0,0
214,201243,3,11,0,0,0,0,0,0,0
247,201243,5,6,0,0,0,0,0,0,0
317,201243,7,33,0,0,0,0,0,0,0
319,201243,8,14,0,0,0,0,0,0,0
411,201243,1,8,0,0,0,0,0,0,0
497,201243,1,5,0,0,0,0,0,0,0
516,201243,2,8,0,0,0,0,0,0,0
518,201243,2,4,0,0,0,0,0,0,0
543,201243,3,6,0,0,0,0,0,0,0
581,201243,2,7,0,0,0,0,0,0,0
585,201243,2,4,0,0,0,0,0,0,0
612,201243,5,20,0,0,0,0,0,0,0
624,201243,4,12,0,0,0,0,0,0,0
646,201243,1,6,0,0,0,0,0,0,0
678,201243,2,10,0,0,0,0,0,0,0
680,201243,4,16,0,0,0,0,0,0,0
848,201243,4,11,0,0,0,0,0,0,0
855,201243,3,6,0,0,0,0,0,0,0
870,201243,2,3,0,0,0,0,0,0,0
888,201243,5,10,0,0,0,0,0,0,0
906,201243,3,6,0,0,0,0,0,0,0
923,201243,1,8,0,0,0,0,0,0,0
957,201243,3,11,0,0,0,0,0,0,0
982,201243,3,6,1,0,1,0,1,0,0
987,201243,4,8,0,0,0,0,0,0,0
996,201243,3,5,0,0,0,0,0,0,0
1020,201243,2,4,0,0,0,0,0,0,0
1029,201243,6,6,0,0,0,0,0,0,0
1035,201243,1,3,0,0,0,0,0,0,0
1036,201243,2,11,0,0,0,0,0,0,0
1046,201243,1,3,0,0,0,0,0,0,0
1135,201243,3,6,0,0,0,0,0,0,0
1144,201243,4,4,0,0,0,0,0,0,0
1151,201243,0,0,0,0,0,0,0,0,0
1154,201243,5,10,0,0,0,0,0,0,0
1158,201243,8,14,0,0,0,0,0,0,0
1180,201243,5,7,0,0,0,0,0,0,0
1191,201243,1,8,0,0,0,0,0,0,0
1201,201243,1,6,0,0,0,0,0,0,0
1222,201243,2,5,0,0,0,0,0,0,0
1236,201243,4,9,0,0,0,0,0,0,0
1242,201243,6,15,0,0,0,0,0,0,0
1268,201243,6,18,0,0,0,0,0,0,0
1278,201243,3,16,0,0,0,0,0,0,0
1294,201243,3,9,0,0,0,0,0,0,0
1347,201243,7,9,0,0,0,0,0,0,0
1422,201243,2,3,0,1,0,0,1,0,0
1423,201243,3,4,0,0,0,0,0,0,0
1431,201243,4,4,0,0,0,0,0,0,0
